U+0023	#	['NUMBER', 'SIGN']
U+093D	ऽ	['DEVANAGARI', 'SIGN', 'AVAGRAHA']
U+093E	ा	['DEVANAGARI', 'VOWEL', 'SIGN', 'AA']
U+093F	ि	['DEVANAGARI', 'VOWEL', 'SIGN', 'I']
U+0940	ी	['DEVANAGARI', 'VOWEL', 'SIGN', 'II']
U+0941	ु	['DEVANAGARI', 'VOWEL', 'SIGN', 'U']
U+0942	ू	['DEVANAGARI', 'VOWEL', 'SIGN', 'UU']
U+0943	ृ	['DEVANAGARI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0944	ॄ	['DEVANAGARI', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0945	ॅ	['DEVANAGARI', 'VOWEL', 'SIGN', 'CANDRA', 'E']
U+0946	ॆ	['DEVANAGARI', 'VOWEL', 'SIGN', 'SHORT', 'E']
U+0947	े	['DEVANAGARI', 'VOWEL', 'SIGN', 'E']
U+0948	ै	['DEVANAGARI', 'VOWEL', 'SIGN', 'AI']
U+0949	ॉ	['DEVANAGARI', 'VOWEL', 'SIGN', 'CANDRA', 'O']
U+094A	ॊ	['DEVANAGARI', 'VOWEL', 'SIGN', 'SHORT', 'O']
U+094B	ो	['DEVANAGARI', 'VOWEL', 'SIGN', 'O']
U+094C	ौ	['DEVANAGARI', 'VOWEL', 'SIGN', 'AU']
U+094D	्	['DEVANAGARI', 'SIGN', 'VIRAMA']
U+094E	ॎ	['DEVANAGARI', 'VOWEL', 'SIGN', 'PRISHTHAMATRA', 'E']
U+094F	ॏ	['DEVANAGARI', 'VOWEL', 'SIGN', 'AW']
U+0951	॑	['DEVANAGARI', 'STRESS', 'SIGN', 'UDATTA']
U+0952	॒	['DEVANAGARI', 'STRESS', 'SIGN', 'ANUDATTA']
U+0955	ॕ	['DEVANAGARI', 'VOWEL', 'SIGN', 'CANDRA', 'LONG', 'E']
U+0956	ॖ	['DEVANAGARI', 'VOWEL', 'SIGN', 'UE']
U+0957	ॗ	['DEVANAGARI', 'VOWEL', 'SIGN', 'UUE']
U+0962	ॢ	['DEVANAGARI', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0963	ॣ	['DEVANAGARI', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0970	॰	['DEVANAGARI', 'ABBREVIATION', 'SIGN']
U+0971	ॱ	['DEVANAGARI', 'SIGN', 'HIGH', 'SPACING', 'DOT']
U+0981	ঁ	['BENGALI', 'SIGN', 'CANDRABINDU']
U+0982	ং	['BENGALI', 'SIGN', 'ANUSVARA']
U+0983	ঃ	['BENGALI', 'SIGN', 'VISARGA']
U+09BC	়	['BENGALI', 'SIGN', 'NUKTA']
U+09BD	ঽ	['BENGALI', 'SIGN', 'AVAGRAHA']
U+09BE	া	['BENGALI', 'VOWEL', 'SIGN', 'AA']
U+09BF	ি	['BENGALI', 'VOWEL', 'SIGN', 'I']
U+09C0	ী	['BENGALI', 'VOWEL', 'SIGN', 'II']
U+09C1	ু	['BENGALI', 'VOWEL', 'SIGN', 'U']
U+09C2	ূ	['BENGALI', 'VOWEL', 'SIGN', 'UU']
U+09C3	ৃ	['BENGALI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+09C4	ৄ	['BENGALI', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+09C7	ে	['BENGALI', 'VOWEL', 'SIGN', 'E']
U+09C8	ৈ	['BENGALI', 'VOWEL', 'SIGN', 'AI']
U+09CB	ো	['BENGALI', 'VOWEL', 'SIGN', 'O']
U+09CC	ৌ	['BENGALI', 'VOWEL', 'SIGN', 'AU']
U+09CD	্	['BENGALI', 'SIGN', 'VIRAMA']
U+09E2	ৢ	['BENGALI', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+09E3	ৣ	['BENGALI', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+09F3	৳	['BENGALI', 'RUPEE', 'SIGN']
U+09FD	৽	['BENGALI', 'ABBREVIATION', 'SIGN']
U+0A01	ਁ	['GURMUKHI', 'SIGN', 'ADAK', 'BINDI']
U+0A02	ਂ	['GURMUKHI', 'SIGN', 'BINDI']
U+0A03	ਃ	['GURMUKHI', 'SIGN', 'VISARGA']
U+0A3C	਼	['GURMUKHI', 'SIGN', 'NUKTA']
U+0A3E	ਾ	['GURMUKHI', 'VOWEL', 'SIGN', 'AA']
U+0A3F	ਿ	['GURMUKHI', 'VOWEL', 'SIGN', 'I']
U+0A40	ੀ	['GURMUKHI', 'VOWEL', 'SIGN', 'II']
U+0A41	ੁ	['GURMUKHI', 'VOWEL', 'SIGN', 'U']
U+0A42	ੂ	['GURMUKHI', 'VOWEL', 'SIGN', 'UU']
U+0A47	ੇ	['GURMUKHI', 'VOWEL', 'SIGN', 'EE']
U+0A48	ੈ	['GURMUKHI', 'VOWEL', 'SIGN', 'AI']
U+0A4B	ੋ	['GURMUKHI', 'VOWEL', 'SIGN', 'OO']
U+0A4C	ੌ	['GURMUKHI', 'VOWEL', 'SIGN', 'AU']
U+0A4D	੍	['GURMUKHI', 'SIGN', 'VIRAMA']
U+0A51	ੑ	['GURMUKHI', 'SIGN', 'UDAAT']
U+0A75	ੵ	['GURMUKHI', 'SIGN', 'YAKASH']
U+0A76	੶	['GURMUKHI', 'ABBREVIATION', 'SIGN']
U+0A81	ઁ	['GUJARATI', 'SIGN', 'CANDRABINDU']
U+0A82	ં	['GUJARATI', 'SIGN', 'ANUSVARA']
U+0A83	ઃ	['GUJARATI', 'SIGN', 'VISARGA']
U+0ABC	઼	['GUJARATI', 'SIGN', 'NUKTA']
U+0ABD	ઽ	['GUJARATI', 'SIGN', 'AVAGRAHA']
U+0ABE	ા	['GUJARATI', 'VOWEL', 'SIGN', 'AA']
U+0ABF	િ	['GUJARATI', 'VOWEL', 'SIGN', 'I']
U+0AC0	ી	['GUJARATI', 'VOWEL', 'SIGN', 'II']
U+0AC1	ુ	['GUJARATI', 'VOWEL', 'SIGN', 'U']
U+0AC2	ૂ	['GUJARATI', 'VOWEL', 'SIGN', 'UU']
U+0AC3	ૃ	['GUJARATI', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0AC4	ૄ	['GUJARATI', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0AC5	ૅ	['GUJARATI', 'VOWEL', 'SIGN', 'CANDRA', 'E']
U+0AC7	ે	['GUJARATI', 'VOWEL', 'SIGN', 'E']
U+0AC8	ૈ	['GUJARATI', 'VOWEL', 'SIGN', 'AI']
U+0AC9	ૉ	['GUJARATI', 'VOWEL', 'SIGN', 'CANDRA', 'O']
U+0ACB	ો	['GUJARATI', 'VOWEL', 'SIGN', 'O']
U+0ACC	ૌ	['GUJARATI', 'VOWEL', 'SIGN', 'AU']
U+0ACD	્	['GUJARATI', 'SIGN', 'VIRAMA']
U+0AE2	ૢ	['GUJARATI', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0AE3	ૣ	['GUJARATI', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0AF0	૰	['GUJARATI', 'ABBREVIATION', 'SIGN']
U+0AF1	૱	['GUJARATI', 'RUPEE', 'SIGN']
U+0AFA	ૺ	['GUJARATI', 'SIGN', 'SUKUN']
U+0AFB	ૻ	['GUJARATI', 'SIGN', 'SHADDA']
U+0AFC	ૼ	['GUJARATI', 'SIGN', 'MADDAH']
U+0AFD	૽	['GUJARATI', 'SIGN', 'THREE', 'DOT', 'NUKTA', 'ABOVE']
U+0AFE	૾	['GUJARATI', 'SIGN', 'CIRCLE', 'NUKTA', 'ABOVE']
U+0AFF	૿	['GUJARATI', 'SIGN', 'TWO', 'CIRCLE', 'NUKTA', 'ABOVE']
U+0B01	ଁ	['ORIYA', 'SIGN', 'CANDRABINDU']
U+0B02	ଂ	['ORIYA', 'SIGN', 'ANUSVARA']
U+0B03	ଃ	['ORIYA', 'SIGN', 'VISARGA']
U+0B3C	଼	['ORIYA', 'SIGN', 'NUKTA']
U+0B3D	ଽ	['ORIYA', 'SIGN', 'AVAGRAHA']
U+0B3E	ା	['ORIYA', 'VOWEL', 'SIGN', 'AA']
U+0B3F	ି	['ORIYA', 'VOWEL', 'SIGN', 'I']
U+0B40	ୀ	['ORIYA', 'VOWEL', 'SIGN', 'II']
U+0B41	ୁ	['ORIYA', 'VOWEL', 'SIGN', 'U']
U+0B42	ୂ	['ORIYA', 'VOWEL', 'SIGN', 'UU']
U+0B43	ୃ	['ORIYA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0B44	ୄ	['ORIYA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0B47	େ	['ORIYA', 'VOWEL', 'SIGN', 'E']
U+0B48	ୈ	['ORIYA', 'VOWEL', 'SIGN', 'AI']
U+0B4B	ୋ	['ORIYA', 'VOWEL', 'SIGN', 'O']
U+0B4C	ୌ	['ORIYA', 'VOWEL', 'SIGN', 'AU']
U+0B4D	୍	['ORIYA', 'SIGN', 'VIRAMA']
U+0B55	୕	['ORIYA', 'SIGN', 'OVERLINE']
U+0B62	ୢ	['ORIYA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0B63	ୣ	['ORIYA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0B82	ஂ	['TAMIL', 'SIGN', 'ANUSVARA']
U+0B83	ஃ	['TAMIL', 'SIGN', 'VISARGA']
U+0BBE	ா	['TAMIL', 'VOWEL', 'SIGN', 'AA']
U+0BBF	ி	['TAMIL', 'VOWEL', 'SIGN', 'I']
U+0BC0	ீ	['TAMIL', 'VOWEL', 'SIGN', 'II']
U+0BC1	ு	['TAMIL', 'VOWEL', 'SIGN', 'U']
U+0BC2	ூ	['TAMIL', 'VOWEL', 'SIGN', 'UU']
U+0BC6	ெ	['TAMIL', 'VOWEL', 'SIGN', 'E']
U+0BC7	ே	['TAMIL', 'VOWEL', 'SIGN', 'EE']
U+0BC8	ை	['TAMIL', 'VOWEL', 'SIGN', 'AI']
U+0BCA	ொ	['TAMIL', 'VOWEL', 'SIGN', 'O']
U+0BCB	ோ	['TAMIL', 'VOWEL', 'SIGN', 'OO']
U+0BCC	ௌ	['TAMIL', 'VOWEL', 'SIGN', 'AU']
U+0BCD	்	['TAMIL', 'SIGN', 'VIRAMA']
U+0BF3	௳	['TAMIL', 'DAY', 'SIGN']
U+0BF4	௴	['TAMIL', 'MONTH', 'SIGN']
U+0BF5	௵	['TAMIL', 'YEAR', 'SIGN']
U+0BF6	௶	['TAMIL', 'DEBIT', 'SIGN']
U+0BF7	௷	['TAMIL', 'CREDIT', 'SIGN']
U+0BF8	௸	['TAMIL', 'AS', 'ABOVE', 'SIGN']
U+0BF9	௹	['TAMIL', 'RUPEE', 'SIGN']
U+0BFA	௺	['TAMIL', 'NUMBER', 'SIGN']
U+0C00	ఀ	['TELUGU', 'SIGN', 'COMBINING', 'CANDRABINDU', 'ABOVE']
U+0C01	ఁ	['TELUGU', 'SIGN', 'CANDRABINDU']
U+0C02	ం	['TELUGU', 'SIGN', 'ANUSVARA']
U+0C03	ః	['TELUGU', 'SIGN', 'VISARGA']
U+0C04	ఄ	['TELUGU', 'SIGN', 'COMBINING', 'ANUSVARA', 'ABOVE']
U+0C3C	఼	['TELUGU', 'SIGN', 'NUKTA']
U+0C3D	ఽ	['TELUGU', 'SIGN', 'AVAGRAHA']
U+0C3E	ా	['TELUGU', 'VOWEL', 'SIGN', 'AA']
U+0C3F	ి	['TELUGU', 'VOWEL', 'SIGN', 'I']
U+0C40	ీ	['TELUGU', 'VOWEL', 'SIGN', 'II']
U+0C41	ు	['TELUGU', 'VOWEL', 'SIGN', 'U']
U+0C42	ూ	['TELUGU', 'VOWEL', 'SIGN', 'UU']
U+0C43	ృ	['TELUGU', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0C44	ౄ	['TELUGU', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0C46	ె	['TELUGU', 'VOWEL', 'SIGN', 'E']
U+0C47	ే	['TELUGU', 'VOWEL', 'SIGN', 'EE']
U+0C48	ై	['TELUGU', 'VOWEL', 'SIGN', 'AI']
U+0C4A	ొ	['TELUGU', 'VOWEL', 'SIGN', 'O']
U+0C4B	ో	['TELUGU', 'VOWEL', 'SIGN', 'OO']
U+0C4C	ౌ	['TELUGU', 'VOWEL', 'SIGN', 'AU']
U+0C4D	్	['TELUGU', 'SIGN', 'VIRAMA']
U+0C62	ౢ	['TELUGU', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0C63	ౣ	['TELUGU', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0C77	౷	['TELUGU', 'SIGN', 'SIDDHAM']
U+0C7F	౿	['TELUGU', 'SIGN', 'TUUMU']
U+0C80	ಀ	['KANNADA', 'SIGN', 'SPACING', 'CANDRABINDU']
U+0C81	ಁ	['KANNADA', 'SIGN', 'CANDRABINDU']
U+0C82	ಂ	['KANNADA', 'SIGN', 'ANUSVARA']
U+0C83	ಃ	['KANNADA', 'SIGN', 'VISARGA']
U+0C84	಄	['KANNADA', 'SIGN', 'SIDDHAM']
U+0CBC	಼	['KANNADA', 'SIGN', 'NUKTA']
U+0CBD	ಽ	['KANNADA', 'SIGN', 'AVAGRAHA']
U+0CBE	ಾ	['KANNADA', 'VOWEL', 'SIGN', 'AA']
U+0CBF	ಿ	['KANNADA', 'VOWEL', 'SIGN', 'I']
U+0CC0	ೀ	['KANNADA', 'VOWEL', 'SIGN', 'II']
U+0CC1	ು	['KANNADA', 'VOWEL', 'SIGN', 'U']
U+0CC2	ೂ	['KANNADA', 'VOWEL', 'SIGN', 'UU']
U+0CC3	ೃ	['KANNADA', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0CC4	ೄ	['KANNADA', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0CC6	ೆ	['KANNADA', 'VOWEL', 'SIGN', 'E']
U+0CC7	ೇ	['KANNADA', 'VOWEL', 'SIGN', 'EE']
U+0CC8	ೈ	['KANNADA', 'VOWEL', 'SIGN', 'AI']
U+0CCA	ೊ	['KANNADA', 'VOWEL', 'SIGN', 'O']
U+0CCB	ೋ	['KANNADA', 'VOWEL', 'SIGN', 'OO']
U+0CCC	ೌ	['KANNADA', 'VOWEL', 'SIGN', 'AU']
U+0CCD	್	['KANNADA', 'SIGN', 'VIRAMA']
U+0CE2	ೢ	['KANNADA', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0CE3	ೣ	['KANNADA', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0CF1	ೱ	['KANNADA', 'SIGN', 'JIHVAMULIYA']
U+0CF2	ೲ	['KANNADA', 'SIGN', 'UPADHMANIYA']
U+0D00	ഀ	['MALAYALAM', 'SIGN', 'COMBINING', 'ANUSVARA', 'ABOVE']
U+0D01	ഁ	['MALAYALAM', 'SIGN', 'CANDRABINDU']
U+0D02	ം	['MALAYALAM', 'SIGN', 'ANUSVARA']
U+0D03	ഃ	['MALAYALAM', 'SIGN', 'VISARGA']
U+0D3B	഻	['MALAYALAM', 'SIGN', 'VERTICAL', 'BAR', 'VIRAMA']
U+0D3C	഼	['MALAYALAM', 'SIGN', 'CIRCULAR', 'VIRAMA']
U+0D3D	ഽ	['MALAYALAM', 'SIGN', 'AVAGRAHA']
U+0D3E	ാ	['MALAYALAM', 'VOWEL', 'SIGN', 'AA']
U+0D3F	ി	['MALAYALAM', 'VOWEL', 'SIGN', 'I']
U+0D40	ീ	['MALAYALAM', 'VOWEL', 'SIGN', 'II']
U+0D41	ു	['MALAYALAM', 'VOWEL', 'SIGN', 'U']
U+0D42	ൂ	['MALAYALAM', 'VOWEL', 'SIGN', 'UU']
U+0D43	ൃ	['MALAYALAM', 'VOWEL', 'SIGN', 'VOCALIC', 'R']
U+0D44	ൄ	['MALAYALAM', 'VOWEL', 'SIGN', 'VOCALIC', 'RR']
U+0D46	െ	['MALAYALAM', 'VOWEL', 'SIGN', 'E']
U+0D47	േ	['MALAYALAM', 'VOWEL', 'SIGN', 'EE']
U+0D48	ൈ	['MALAYALAM', 'VOWEL', 'SIGN', 'AI']
U+0D4A	ൊ	['MALAYALAM', 'VOWEL', 'SIGN', 'O']
U+0D4B	ോ	['MALAYALAM', 'VOWEL', 'SIGN', 'OO']
U+0D4C	ൌ	['MALAYALAM', 'VOWEL', 'SIGN', 'AU']
U+0D4D	്	['MALAYALAM', 'SIGN', 'VIRAMA']
U+0D4F	൏	['MALAYALAM', 'SIGN', 'PARA']
U+0D62	ൢ	['MALAYALAM', 'VOWEL', 'SIGN', 'VOCALIC', 'L']
U+0D63	ൣ	['MALAYALAM', 'VOWEL', 'SIGN', 'VOCALIC', 'LL']
U+0D81	ඁ	['SINHALA', 'SIGN', 'CANDRABINDU']
U+0D82	ං	['SINHALA', 'SIGN', 'ANUSVARAYA']
U+0D83	ඃ	['SINHALA', 'SIGN', 'VISARGAYA']
U+0DCA	්	['SINHALA', 'SIGN', 'AL', 'LAKUNA']
U+0DCF	ා	['SINHALA', 'VOWEL', 'SIGN', 'AELA', 'PILLA']
U+0DD0	ැ	['SINHALA', 'VOWEL', 'SIGN', 'KETTI', 'AEDA', 'PILLA']
U+0DD1	ෑ	['SINHALA', 'VOWEL', 'SIGN', 'DIGA', 'AEDA', 'PILLA']
U+0DD2	ි	['SINHALA', 'VOWEL', 'SIGN', 'KETTI', 'IS', 'PILLA']
U+0DD3	ී	['SINHALA', 'VOWEL', 'SIGN', 'DIGA', 'IS', 'PILLA']
U+0DD4	ු	['SINHALA', 'VOWEL', 'SIGN', 'KETTI', 'PAA', 'PILLA']
U+0DD6	ූ	['SINHALA', 'VOWEL', 'SIGN', 'DIGA', 'PAA', 'PILLA']
U+0DD8	ෘ	['SINHALA', 'VOWEL', 'SIGN', 'GAETTA', 'PILLA']
U+0DD9	ෙ	['SINHALA', 'VOWEL', 'SIGN', 'KOMBUVA']
U+0DDA	ේ	['SINHALA', 'VOWEL', 'SIGN', 'DIGA', 'KOMBUVA']
U+0DDB	ෛ	['SINHALA', 'VOWEL', 'SIGN', 'KOMBU', 'DEKA']
U+0DDC	ො	['SINHALA', 'VOWEL', 'SIGN', 'KOMBUVA', 'HAA', 'AELA', 'PILLA']
U+0DDD	ෝ	['SINHALA', 'VOWEL', 'SIGN', 'KOMBUVA', 'HAA', 'DIGA', 'AELA', 'PILLA']
U+0DDE	ෞ	['SINHALA', 'VOWEL', 'SIGN', 'KOMBUVA', 'HAA', 'GAYANUKITTA']
U+0DDF	ෟ	['SINHALA', 'VOWEL', 'SIGN', 'GAYANUKITTA']
U+0DF2	ෲ	['SINHALA', 'VOWEL', 'SIGN', 'DIGA', 'GAETTA', 'PILLA']
U+0DF3	ෳ	['SINHALA', 'VOWEL', 'SIGN', 'DIGA', 'GAYANUKITTA']
U+0EB0	ະ	['LAO', 'VOWEL', 'SIGN', 'A']
U+0EB1	ັ	['LAO', 'VOWEL', 'SIGN', 'MAI', 'KAN']
U+0EB2	າ	['LAO', 'VOWEL', 'SIGN', 'AA']
U+0EB3	ຳ	['LAO', 'VOWEL', 'SIGN', 'AM']
U+0EB4	ິ	['LAO', 'VOWEL', 'SIGN', 'I']
U+0EB5	ີ	['LAO', 'VOWEL', 'SIGN', 'II']
U+0EB6	ຶ	['LAO', 'VOWEL', 'SIGN', 'Y']
U+0EB7	ື	['LAO', 'VOWEL', 'SIGN', 'YY']
U+0EB8	ຸ	['LAO', 'VOWEL', 'SIGN', 'U']
U+0EB9	ູ	['LAO', 'VOWEL', 'SIGN', 'UU']
U+0EBA	຺	['LAO', 'SIGN', 'PALI', 'VIRAMA']
U+0EBB	ົ	['LAO', 'VOWEL', 'SIGN', 'MAI', 'KON']
U+0EBC	ຼ	['LAO', 'SEMIVOWEL', 'SIGN', 'LO']
U+0EBD	ຽ	['LAO', 'SEMIVOWEL', 'SIGN', 'NYO']
U+0EC0	ເ	['LAO', 'VOWEL', 'SIGN', 'E']
U+0EC1	ແ	['LAO', 'VOWEL', 'SIGN', 'EI']
U+0EC2	ໂ	['LAO', 'VOWEL', 'SIGN', 'O']
U+0EC3	ໃ	['LAO', 'VOWEL', 'SIGN', 'AY']
U+0EC4	ໄ	['LAO', 'VOWEL', 'SIGN', 'AI']
U+0F15	༕	['TIBETAN', 'LOGOTYPE', 'SIGN', 'CHAD', 'RTAGS']
U+0F16	༖	['TIBETAN', 'LOGOTYPE', 'SIGN', 'LHAG', 'RTAGS']
U+0F17	༗	['TIBETAN', 'ASTROLOGICAL', 'SIGN', 'SGRA', 'GCAN', 'CHAR', 'RTAGS']
U+0F18	༘	['TIBETAN', 'ASTROLOGICAL', 'SIGN', 'KHYUD', 'PA']
U+0F19	༙	['TIBETAN', 'ASTROLOGICAL', 'SIGN', 'SDONG', 'TSHUGS']
U+0F1A	༚	['TIBETAN', 'SIGN', 'RDEL', 'DKAR', 'GCIG']
U+0F1B	༛	['TIBETAN', 'SIGN', 'RDEL', 'DKAR', 'GNYIS']
U+0F1C	༜	['TIBETAN', 'SIGN', 'RDEL', 'DKAR', 'GSUM']
U+0F1D	༝	['TIBETAN', 'SIGN', 'RDEL', 'NAG', 'GCIG']
U+0F1E	༞	['TIBETAN', 'SIGN', 'RDEL', 'NAG', 'GNYIS']
U+0F1F	༟	['TIBETAN', 'SIGN', 'RDEL', 'DKAR', 'RDEL', 'NAG']
U+0F3E	༾	['TIBETAN', 'SIGN', 'YAR', 'TSHES']
